  Pot_SET               V(R31:2)             
  0.000000000000e+00  5.503182384622e+00  
  1.000000000000e-02  5.531071134499e+00  
  2.000000000000e-02  5.559238947657e+00  
  3.000000000000e-02  5.587690193271e+00  
  4.000000000000e-02  5.616429089084e+00  
  5.000000000000e-02  5.645460154118e+00  
  6.000000000000e-02  5.674787811760e+00  
  7.000000000000e-02  5.704416795551e+00  
  8.000000000000e-02  5.734351689113e+00  
  9.000000000000e-02  5.764597394265e+00  
  1.000000000000e-01  5.795158720634e+00  
  1.100000000000e-01  5.826040805105e+00  
  1.200000000000e-01  5.857248637976e+00  
  1.300000000000e-01  5.888787544938e+00  
  1.400000000000e-01  5.920662748231e+00  
  1.500000000000e-01  5.952879853015e+00  
  1.600000000000e-01  5.985444298714e+00  
  1.700000000000e-01  6.018361892370e+00  
  1.800000000000e-01  6.051638341409e+00  
  1.900000000000e-01  6.085279711144e+00  
  2.000000000000e-01  6.119291964921e+00  
  2.100000000000e-01  6.153681434256e+00  
  2.200000000000e-01  6.188454360260e+00  
  2.300000000000e-01  6.223617362264e+00  
  2.400000000000e-01  6.259176967958e+00  
  2.500000000000e-01  6.295140094516e+00  
  2.600000000000e-01  6.331513579996e+00  
  2.700000000000e-01  6.368304663413e+00  
  2.800000000000e-01  6.405520503746e+00  
  2.900000000000e-01  6.443168674601e+00  
  3.000000000000e-01  6.481256682816e+00  
  3.100000000000e-01  6.519792462327e+00  
  3.200000000000e-01  6.558783880867e+00  
  3.300000000000e-01  6.598239248773e+00  
  3.400000000000e-01  6.638166824765e+00  
  3.500000000000e-01  6.678575323442e+00  
  3.600000000000e-01  6.719473411499e+00  
  3.700000000000e-01  6.760870227683e+00  
  3.800000000000e-01  6.802774878477e+00  
  3.900000000000e-01  6.845196959187e+00  
  4.000000000000e-01  6.888146037113e+00  
  4.100000000000e-01  6.931632187203e+00  
  4.200000000000e-01  6.975665474215e+00  
  4.300000000000e-01  7.020256489035e+00  
  4.400000000000e-01  7.065415818868e+00  
  4.500000000000e-01  7.111154598717e+00  
  4.600000000000e-01  7.157483980014e+00  
  4.700000000000e-01  7.204415682690e+00  
  4.800000000000e-01  7.251961452852e+00  
  4.900000000000e-01  7.300133629360e+00  
  5.000000000000e-01  7.348944599723e+00  
  5.100000000000e-01  7.398407369442e+00  
  5.200000000000e-01  7.448535004235e+00  
  5.300000000000e-01  7.499341215853e+00  
  5.400000000000e-01  7.550839802875e+00  
  5.500000000000e-01  7.603045238056e+00  
  5.600000000000e-01  7.655972096818e+00  
  5.700000000000e-01  7.709635661174e+00  
  5.800000000000e-01  7.764051345999e+00  
  5.900000000000e-01  7.819235306012e+00  
  6.000000000000e-01  7.875203864227e+00  
  6.100000000000e-01  7.931974060138e+00  
  6.200000000000e-01  7.989563235119e+00  
  6.300000000000e-01  8.047989397096e+00  
  6.400000000000e-01  8.107270932286e+00  
  6.500000000000e-01  8.167426934792e+00  
  6.600000000000e-01  8.228476894340e+00  
  6.700000000000e-01  8.290441051412e+00  
  6.800000000000e-01  8.353340103806e+00  
  6.900000000000e-01  8.417195549998e+00  
  7.000000000000e-01  8.482029369566e+00  
  7.100000000000e-01  8.547864393712e+00  
  7.200000000000e-01  8.614724006295e+00  
  7.300000000000e-01  8.682632501194e+00  
  7.400000000000e-01  8.751614757656e+00  
  7.500000000000e-01  8.821696626724e+00  
  7.600000000000e-01  8.892904627009e+00  
  7.700000000000e-01  8.965266319077e+00  
  7.800000000000e-01  9.038809974789e+00  
  7.900000000000e-01  9.113564982237e+00  
  8.000000000000e-01  9.189561537205e+00  
  8.100000000000e-01  9.266831036093e+00  
  8.200000000000e-01  9.345405740438e+00  
  8.300000000000e-01  9.425319203105e+00  
  8.400000000000e-01  9.506605955371e+00  
  8.500000000000e-01  9.589301922322e+00  
  8.600000000000e-01  9.673444083004e+00  
  8.700000000000e-01  9.759070920800e+00  
  8.800000000000e-01  9.846222108280e+00  
  8.900000000000e-01  9.934938947319e+00  
  9.000000000000e-01  1.002526402747e+01  
  9.100000000000e-01  1.011724170410e+01  
  9.200000000000e-01  1.021091778286e+01  
  9.300000000000e-01  1.030633998880e+01  
  9.400000000000e-01  1.040355762603e+01  
  9.500000000000e-01  1.050262206405e+01  
  9.600000000000e-01  1.060358654624e+01  
  9.700000000000e-01  1.070650641087e+01  
  9.800000000000e-01  1.081143916286e+01  
  9.900000000000e-01  1.091844459058e+01  
  1.000000000000e+00  1.102758485238e+01  
  1.010000000000e+00  1.113892466943e+01  
  1.020000000000e+00  1.125253133347e+01  
  1.030000000000e+00  1.136847496330e+01  
  1.040000000000e+00  1.148682857602e+01  
  1.050000000000e+00  1.160766827069e+01  
  1.060000000000e+00  1.173107338054e+01  
  1.070000000000e+00  1.185712665810e+01  
  1.080000000000e+00  1.198591444091e+01  
  1.090000000000e+00  1.211752686988e+01  
  1.100000000000e+00  1.225205808702e+01  
